gene_id	gene_symbol	chromosome	order_index
ENSG00000274391.6	TPTE	21	0
ENSG00000166351.11	POTED	21	1
ENSG00000188992.12	LIPI	21	2
ENSG00000185272.16	RBM11	21	3
ENSG00000155304.8	HSPA13	21	4
ENSG00000130538.6	OR11H1	22	0
ENSG00000198062.16	POTEH	22	1
ENSG00000198445.4	CCT8L2	22	2
ENSG00000172967.9	XKR3	22	3
ENSG00000215568.9	GAB4	22	4
